perspective_type,apply_flag,detail
character,TRUE,誤字脱字がないか。
character,TRUE,18pt未満の小さすぎる文字がないか。
character,TRUE,見出し・本文・注釈の書体ルールが揃っているか。
character,TRUE,フォントの種類が増えすぎていないか。
character,TRUE,強調しなくてもよい所まで目立っていないか。
colors,TRUE,薄い背景に薄い文字、濃い背景に濃い文字など、見づらい色味になっていないか。
colors,TRUE,背景や装飾が内容の邪魔をしていないか。
colors,TRUE,色だけで情報整理しようとしていないか。
colors,TRUE,強調色を見るだけで『重要箇所』と分かる構成になっているか。
colors,TRUE,資料全体で色味が統一されているか。
composition,TRUE,要素の左端・中央線・余白の基準が揃っているか。
composition,TRUE,空白がなく窮屈に見えないか。
composition,TRUE,タイトル位置、本文位置が統一されているか。
composition,TRUE,内容が他のページと大きく重複してしまっていないか。
composition,TRUE,スライドのタイトルだけ読んで、そのページのストーリーが追える構成になっているか。
composition,TRUE,この資料で相手に何を理解・判断・行動してほしいかが説明できる構成になっているか。
composition,TRUE,このスライドの要点1つに絞られているか。
composition,TRUE,見た人が読む順番で迷わないか。
composition,TRUE,話を聞きながら見たときにちょうどよい情報量か。
figures,TRUE,視覚要素が多すぎて主役が分散していないか。
figures,TRUE,棒・線・円など図形の選択に理由があるか。
figures,TRUE,細かい数字や凡例を詰め込みすぎていないか。
figures,TRUE,この図で何を言いたいか一目で分かるか。
figures,TRUE,見せたい差・変化・順位がすぐ読めるか。
figures,TRUE,画像が装飾ではなく説明になっているか。
sentence,TRUE,1項目が長文になっていないか。
sentence,TRUE,1行1メッセージになっているか。
sentence,TRUE,説明なしで意味不明な単語が残っていないか。
sentence,TRUE,初見の人でも意味が取れる言い方か。
