slide_summary,category,comment,severity,accepted
中期経営計画の2026年目標売上に対するLP閲覧や新規契約件数などのKPIを記載したスライド。目標の記載のみで実績の記載なし。,evaluation,目標に対して今時点でいくつなのかを明確にしてください。,medium,TRUE
新規事業企画書における「背景と狙い」の部分の説明スライド。既存の課題とニーズを並べて開発するサービスのコンセプトを記載しているが、サービスを象徴する説明・表現がない。,assignment,今説明してもらったキーワードに目がいかないのはなんでなんだろうね。,medium,TRUE
新規事業企画書における「事業アイディアの概要」の部分の説明スライド。提供するサービスの説明はあるが、実際の操作シーンがイメージできるような説明がない。,assignment,操作感がすごいイメージつかないなと思って聞いた。,high,TRUE
新規事業企画書における「事業アイディアの概要」の部分の説明スライド。提供するサービスの説明について簡単に記載されている。,priority,それセールスポイントは何？差別化できてるの？,high,TRUE
新規事業企画書における「事業アイディアの概要」の部分の説明スライド。提供するサービスの説明について簡単に記載されている。,priority,既存のサービスで同じようなことできるけど、価値としては何があるの？,high,TRUE
新規事業企画書における「事業アイディアの概要」の部分の説明スライド。ネクストアクションをAIが提示してくれる機能の説明が記載されている。,feasibility,ネクストアクションに関するナレッジはどこにあるの？顧客によって違うけど、どうやって解析するの？,high,TRUE
新規事業企画書における「収益性と投資計画」の部分の説明スライド。数年先までの顧客増加と収益増加について記載されている。,plan,これだけの予算かけで、実際どんくらい売れるんだろう。,high,TRUE
新規事業企画書における「背景と狙い」の部分の説明スライド。既存の課題とニーズを並べて開発するサービスのコンセプトを記載しているが、サービスを象徴する説明・表現がない。,priority,このサービスすごいでしょ、ウチだけでしょ、って自慢できる？,medium,TRUE
新規事業企画書における「背景と狙い」の部分の説明スライド。既存の課題とニーズを並べて開発するサービスのコンセプトを記載しているが、サービスを象徴する説明・表現がない。,assignment,課題が本当に課題になっていると感じひん。,high,TRUE
新規事業企画書における「収益性と投資計画」の部分の説明スライド。無料体験サイトを作成して、100件の利用登録者を獲得すると記載している。,sentence,無料体験と書いてあるけど、こちらでサンプルサイトを作るならデモサイトだよね。,low,TRUE
新規事業企画書における「収益性と投資計画」の部分の説明スライド。無料体験サイトを作成して、100件の利用登録者から25件の新規契約を獲得すると記載している。,plan,100件に対して25件の契約が取れるって書いてあるけど、そんなことホントにできる？,high,TRUE
新規事業企画書における「収益性と投資計画」の部分の説明スライド。サービスの販売方法としてWebマーケティングのみを使用して、インターネット販売のみで行うと記載されている。,plan,Webマーケティングではなくイベントなどで実際に触ってもらってからリード顧客を取りにいかないと。,high,TRUE
新規事業企画書における「収益性と投資計画」の部分の説明スライド。サービスの販売方法としてインターネット販売のみで行うと記載されている。,plan,営業を使うなら使うで、使わないなら使わないであらかじめ営業の社員に話して合意とっておかなあかんで。,medium,TRUE
新規事業企画書における「背景と狙い」の部分の説明スライド。既存の課題とニーズを並べて開発するサービスのコンセプトを記載しているが、実際にターゲットとなる層の意見がない。,assignment,このサービスを営業は本当に必要としてる？あらかじめヒアリングした？,high,TRUE
新規事業企画案の市場調査スケジュールを説明したスライド。市場調査に200社ヒアリングを行うと書いてあるが、実際の営業で200社ヒアリングできる社員はほとんどいない。,plan,実際にアポ取りに行ける営業がどんだけおんねん。これ絵に描いた餅になってへん？,high,TRUE
新規事業企画案の市場調査スケジュールを説明したスライド。市場調査に3か月かけて、それと並行してPoCに3か月かけるスケジュールが引かれている。,plan,紙ベースの資料では調査できないもんなの？大きい顧客から順に1か月調査して、見込み有りそうならすぐPoCに移行すればいいんじゃないの？,medium,TRUE
新規事業企画案のサービス概要が説明されたスライド。実際の利用シーンにおけるPMと設計担当者に対するサービスの価値は示されているが、実際に導入を検討する立場の人が記載されていない。,assignment,これ実際に営業が売りに行くときに、近いのはPMだと思うけど営業に確認できている？,high,TRUE
新規事業企画案のサービス概要が説明されたスライド。実際に営業しにいく対象が考慮できていない。,assignment,実際に営業に行くのはどの会社？ターゲットしっかり決まってるの？,high,TRUE
新規事業企画案のサービス概要が説明されたスライド。実際に営業しにいく方法とその実現性が考慮できていない。,feasibility,実際に営業に行く方法は考えられてるの？ウチの営業でほんとにサービス説明ができるの？,high,TRUE
新規事業アイディアの概要を説明したスライド。PMや設計担当ごとに、このサービスの利用の仕方が記載されているが、実際の現場を考慮した説明になっていない。,story,アクターがちょっと微妙になっている,medium,TRUE
新規事業アイディアの概要を説明したスライド。PMや設計担当ごとに、このサービスの利用の仕方が記載されているが、情報が多くぱっと見でどのようなシステムかを掴みづらい。,assignment,サービス概要にキャッチフレーズが無いからピンとこないんちゃうかな。,medium,TRUE
新規事業アイディアの概要を説明したスライド。PMや設計担当ごとに、このサービスの利用の仕方が記載されているが、情報が多くぱっと見でどのようなシステムかを掴みづらい。,story,こんなにいっぱい幅取ってるのに何言ってるのかわからんちゃうかな。,high,TRUE
IT企業のSES案件担当営業向けに企画したサービス概要のスライド。システムを売る対象のユーザが、実際はブローカーでお金を持っていない点が考慮されていない。,assignment,これ個別に売って何のメリットがあんねん。マッチングアプリみたいなもん作ったらええんちゃうの。,high,TRUE
複数並列で動いている新規サービス開発のスケジュールのスライド。現在の状態がわかりにくい。,story,今週アクティブになるものを分かりやすくしとこうか。,low,TRUE
新規事業アイディアの概要をユースケース図で説明したスライド。このサービスを利用したくなるようなメリットが不明瞭。,assignment,まずはウチの会社で試験運用をしてみることを考える必要あるな。,medium,TRUE
データコンペティションサイトの運営に関する企画書のスライド。今まで提案していたサービスとは異なり、顧客に売るのではなくプラットフォームを運営する。,plan,誰に売るつもりなのか、どうやって売り込むのかが分からない。,high,TRUE
新規サービス企画に向けてのヒアリンク状況を記載したスライド。今後の施策について、どのような活動をしていくのかを記載している。,story,実施施策とKPIを分けて書いてください。,low,TRUE
新規サービス企画に向けてのヒアリンク状況を記載したスライド。今後の施策について、どのような活動をしていくのかを記載している。,evaluation,チラシを配った人からの問い合わせはいつぐらいまで待つの？,medium,TRUE
新規サービス企画に向けて、営業に開発するサービス専任営業の選出依頼スライド。営業と協力しながら進めたいという依頼と、これから協力して行いたい作業内容を記載している。,,これ聴いて「分かった」って言うかな、営業は。,,FALSE
新規サービス企画に向けて、営業に開発するサービス専任営業の選出依頼スライド。営業と協力しながら進めたいという依頼と、これから協力して行いたい作業内容を記載している。,,これ実際に営業に協力を取り付けるまでどのくらいかかると思ってる？,,FALSE
営業と協力しながら進める際の、具体的な検討事項について記載したスライド。,,言っていることが、突っ込まれたら「あー...」となるくらいなら、フローとして書き起こしたらどうか。,,TRUE
営業と協力しながら進める際の、具体的な検討事項について記載したスライド。,,どういう風な形で経営会議や役員会議を通して、そのあとの手順を明確にするのか決めておかないとまたグダグダになる。,,TRUE
新規サービス企画に向けて、営業に開発するサービス専任営業の選出依頼スライド。営業と協力しながら進めたいという依頼と、これから協力して行いたい作業内容を記載している。,,相手を追い込むような、納得させられる表現が少ないよね。,,TRUE
営業と協力しながら進める際の、具体的な検討事項について記載したスライド。各フェーズごとに検討事項の内容が記載されている。,,このフェーズに従って進めていって、実際に社外販売ができるようになるのはいつなの。,,TRUE
営業と協力しながら進める際の、具体的な検討事項について記載したスライド。各フェーズごとに検討事項の内容が記載されている。,,企画段階でKPIを設定せずに、PoCの後の販売プロセス定義の中でKPIを決めようとしているのが違和感。,,TRUE
新規サービス企画に向けて、営業に開発するサービス専任営業の選出依頼スライド。営業と協力しながら進めたいという依頼と、これから協力して行いたい作業内容を記載している。,,1つのスライドに2つの軸についての内容が記載されていて、こちらの考えが伝わりづらいのではないか。,,TRUE
新規サービス企画に向けて、営業に開発するサービス専任営業の選出依頼スライド。スライドの先頭に、営業にお願いしたいことが記載されている。,,一番最初にお願いが目に付くようなスライド構成だと、お願いされる側としては拒否反応がでやすい。,,TRUE
新規サービス企画に向けて、営業に開発するサービス専任営業の選出依頼スライド。スライドの先頭に、営業にお願いしたいことが記載されている。,,依頼する相手や打ち合わせの主賓を意識して作った資料には思えない。,,TRUE
新規サービス企画の背景と狙いを記載したスライド。ASISとTOBEが記載されている。,,課題を提案された側が、実際に自分自身の実感として、同じ課題感を持っていると納得できるようにしたい。,,TRUE
