perspective_type,detail
assignment,この製品がどの業界・業種に対してニーズがあるのかが伝わるように記載されているか。
assignment,この製品の売りとなる部分が明確になっているか。また、その売りとなるポイントが製品として販売する上で弱くないか。
assignment,この製品の売りとなる部分について、セールスポイントとなるキーワードが存在するか。
assignment,この製品を使用するターゲット層に対して、ターゲットが実際にその課題を抱えているのか。
assignment,この製品を使用するターゲット像が明確に定義されているか。
assignment,この製品を使用する場面のイメージが、読み手に伝わるように記載されているか。
assignment,ターゲット層はこの製品を導入する資産的余裕があるのかが考慮できているか。
evaluation,検証に必要なデータを取得する方法が実現可能性の観点から妥当であるか。
evaluation,検証に必要なデータを取得する方法が明確になっているか。
evaluation,PoCが成功したと判断する条件が明確に定義されているか。
feasibility,この製品で実現したいサービス・機能の実現可能性について考慮されているか。
feasibility,この製品にAIを使用することによる利点が明確になっているか。
feasibility,この製品におけるAIの業務内容について明確になっているか。
feasibility,課題起点ではなくAI活用ありきの製品になってしまってないか。
overall,資料全体から、開発する製品に対するイメージが掴めるような構成になっているか。
overall,資料全体を通して、他社製品と比べてこの製品の売りとなる部分がアピールできる構成になっているか。
overall,この資料を通じて何を承認・判断してほしいのかが明確になっているか。
overall,課題・解決策・効果の流れが伝わりやすい構成順になっているか。
overall,用語や表記が資料全体で統一されているか。
overall,補足している内容と、資料の記載内容にズレがないかどうか。
plan,この製品を導入してもらうためにアピールできる対象が明確になっているか。
plan,ターゲット層を意識した開発・販売戦略になっているか。
plan,開発する製品に合わせた営業戦略が想定されているか。
plan,開発プロセスとして記載しているスケジュールや作業工数の見積もりは現実的か。
plan,将来の予測・見込みを立てている場合、その予測の数値が妥当であるかどうかの理由付けが明確にされているか。
plan,将来の予測・見込みを立てている場合、現時点での実績としてどうなっているかが表現されているか。
plan,サービスの導入検討者が実際に抱えている課題に対して、こちらが想定している課題感がマッチしたものになっているか。
plan,効果創出までの事業仮説が説得力のあるものになっているか。
priority,記載されている販売戦略について、実現可能性が考慮できているか。
priority,自社の製品として売り出す場合、アピールポイントとなる部分が明確に記載されているか。
priority,自社の利益につながる形でアイディア化できているか。またそれが明確になっているか。
priority,他の既存の製品との差別化について、その差別化に市場価値があるか。
priority,他の既存の製品と比べて差別化が出来ているか。また、その差別化が妥当な内容であるか。
story,資料に記載されている内容が整理されているか。特に同じ欄に記載されている内容について、異なる観点の内容が含まれていないか。
story,時系列順が存在する項目については、時系列順に並べることで読み手の負担を軽減できでいるか。
story,情報を詰め込みすぎてしまってないか。
character,誤字脱字がないか。
character,18pt未満の小さすぎる文字がないか。
character,見出し・本文・注釈の書体ルールが揃っているか。
character,フォントの種類が増えすぎていないか。
character,強調しなくてもよい所まで目立っていないか。
colors,薄い背景に薄い文字、濃い背景に濃い文字など、見づらい色味になっていないか。
colors,背景や装飾が内容の邪魔をしていないか。
colors,色だけで情報整理しようとしていないか。
colors,強調色を見るだけで『重要箇所』と分かる構成になっているか。
colors,資料全体で色味が統一されているか。
composition,要素の左端・中央線・余白の基準が揃っているか。
composition,空白がなく窮屈に見えないか。
composition,タイトル位置、本文位置が統一されているか。
composition,内容が他のページと大きく重複してしまっていないか。
composition,スライドのタイトルだけ読んで、そのページのストーリーが追える構成になっているか。
composition,この資料で相手に何を理解・判断・行動してほしいかが説明できる構成になっているか。
composition,このスライドの要点1つに絞られているか。
composition,見た人が読む順番で迷わないか。
composition,話を聞きながら見たときにちょうどよい情報量か。
figures,視覚要素が多すぎて主役が分散していないか。
figures,棒・線・円など図形の選択に理由があるか。
figures,細かい数字や凡例を詰め込みすぎていないか。
figures,この図で何を言いたいか一目で分かるか。
figures,見せたい差・変化・順位がすぐ読めるか。
figures,画像が装飾ではなく説明になっているか。
sentence,1項目が長文になっていないか。
sentence,1行1メッセージになっているか。
sentence,説明なしで意味不明な単語が残っていないか。
sentence,初見の人でも意味が取れる言い方か。
